"week";"dose";"ditch";"Simve";"Daplo";"Cerpu";"Alogu";"Aloco";"Alore";"Aloaf";"Copsp";"Ostsp";"Slyla";"Acrha";"Aloex";"Chysp";"Alona";"Plead";"Oxyte";"Grate";"Copdi";"NauLa";"CilHa";"Strvi";"amosp";"Ascmo";"Synsp";"Squro";"Squmu";"Polar";"Kerqu";"Anufi";"Mytve";"Mytvi";"Mytmu";"Lepsp";"Leppa";"Colob";"Colbi";"Colun";"Lecsp";"Lecqu";"Lecco";"Leclu";"Lecfl";"Tripo";"Cepsp";"Monlo";"Monae";"Scalo";"Trilo";"Tripo.1";"Tricy";"Trisp";"Tepat";"Rotne";"Notla";"Filsp";"Lopox";"hydrspec";"bothrosp";"olchaeta";"erpoocto";"glsicomp";"alglhete";"hebdstag";"sphidae";"ansuvote";"armicris";"bathcont";"binitent";"gyraalbu";"hippcomp";"lymnstag";"lymnaes7";"physfont";"plbacorn";"popyanti";"radiovat";"radipere";"valvcris";"valvpisc";"hycarina";"gammpule";"aselaqua";"proameri";"collembo";"caenhora";"caenluct";"caenrobu";"cloedipt";"cloesimi";"aeshniae";"libellae";"conagrae";"corident";"coripanz";"coripunc";"cymabons";"hesplinn";"hespsahl";"notoglau";"notomacu";"notoobli";"notoviri";"pacoconc";"pleaminu";"sigadist";"sigafall";"sigastri";"sigarasp";"colyfusc";"donacis6";"gyrimari";"haliconf";"haliflav";"haligruf";"haliobli";"herubrev";"hya_herm";"hyglpusi";"hyhyovat";"hypoplan";"hyporusp";"hytuinae";"hytuvers";"laphminu";"noteclav";"rhantusp";"sialluta";"ablalong";"ablaphmo";"cltanerv";"malopisp";"mopetenu";"prdiussp";"pstavari";"chironsp";"crchirsp";"crclglat";"ditendsp";"mitegchl";"pachgarc";"pachgvit";"popegnub";"popedisp";"acriluce";"chclpige";"conescut";"cricotsp";"liesspec";"psclbarb";"psclgsli";"psclobvi";"psclplat";"psclpsil";"pscladsp";"cladotsp";"laa_spec";"patanysp";"tatarssp";"zaa_spec";"anopmacu";"cepogoae";"chaoobsc";"cucidae4";"tabanusp";"agdasphr";"athrater";"cyrncren";"holodubi";"holopici";"leceriae";"lilurhom";"monaangu";"mystazur";"mystloni";"oecefurv";"oecelacu";"triabico";"paponysp"
"-4";"0.1";"1";5;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;10;540;68762;1060;0;0;50;0;0;50;0;0;0;10;0;0;0;10;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;0;5;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133;0;0;446;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0
"-4";"0";"2";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;40;7558;120;40;70;430;0;0;10;0;0;0;0;0;0;20;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;10;0;4;2;1;0;50;0;0;0;0;0;0;0;0;1;0;0;0;3;1;0;0;0;0;62;0;0;420;3;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;2;0;0;0;1;0;0;7;0;9;0;0;0;0
"-4";"0";"3";10;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;250;13635;960;0;20;140;0;0;310;0;0;0;0;0;30;10;10;20;0;10;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;24;5;0;11;0;2;0;97;0;6;0;0;0;0;0;0;12;0;0;1;50;0;0;1;0;0;50;1;0;151;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;5;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;7;0;0;0;0
"-4";"0.9";"4";1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;70;53659;20;80;0;40;0;0;440;0;0;0;0;0;20;0;0;20;0;0;10;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59;8;0;4;1;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;1;0;331;5;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;12;0;0;0;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;14;0;0;0;0
"-4";"0";"5";5;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;240;12081;260;120;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;3;2;0;1;0;6;0;0;0;0;0;0;0;0;144;0;3;0;0;0;0;5;0;0;133;1;0;442;0;0;0;11;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;4;0;0;0;0;0;1;1;0;40;0;0;0;0
"-4";"44";"6";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;50;11724;2600;40;90;60;0;0;1780;0;0;0;0;0;0;0;10;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;0;3;2;4;0;21;0;12;0;0;0;0;0;0;0;0;1;0;4;0;3;1;0;0;128;1;0;472;3;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;6;0;0;0;0;5;0;0;0;0
"-4";"6";"7";3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;20;31521;640;160;30;0;0;0;0;0;0;0;0;0;10;0;0;0;0;20;0;0;10;10;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;2;20;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;122;1;0;311;4;0;0;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;3
"-4";"0.1";"8";1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;61600;920;0;0;20;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;6;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214;3;0;388;4;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;0;9;0;0;0;0
"-4";"44";"9";2;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;50;8082;300;40;0;330;0;0;130;0;0;20;0;0;0;0;0;0;0;10;0;10;0;30;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;8;6;0;1;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;0;285;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;8;0;0;0;0
"-4";"0.9";"10";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1020;8522;1381;40;0;160;0;0;6798;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;5;21;0;0;1;0;0;68;0;15;13;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;15;0;0;363;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;22;0;0;0;1;0;0;6;0;4;0;0;0;0
